ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
215,362300.6275,10170100.24,1.538585112,103.762184,-134.4318004,-10.455,-25.435,1,
216,362310.6275,10170100.24,1.538585164,103.7622739,-134.0331968,-10.455,-25.435,1,
217,362320.6275,10170100.24,1.538585217,103.7623637,-133.6664371,-9.506666667,-24.9,1,
218,362330.6275,10170100.24,1.538585269,103.7624536,-133.0815705,-9.506666667,-24.9,1,
219,362340.6275,10170100.24,1.538585322,103.7625435,-132.7886348,-9.006666667,-21.80666667,1,
220,362350.6275,10170100.24,1.538585374,103.7626334,-132.3276536,-9.006666667,-21.80666667,1,
221,362360.6275,10170100.24,1.538585427,103.7627233,-131.9386348,-8.205714286,-20.67,1,
222,362370.6275,10170100.24,1.538585479,103.7628131,-131.8015705,-8.205714286,-20.67,1,
223,362380.6275,10170100.24,1.538585531,103.762903,-131.5864371,-8.205714286,-20.67,1,
224,362390.6275,10170100.24,1.538585584,103.7629929,-131.5531968,-8.205714286,-20.67,1,
225,362400.6275,10170100.24,1.538585636,103.7630828,-131.5718004,-8.205714286,-20.67,1,
226,362410.6275,10170100.24,1.538585689,103.7631727,-131.5821898,-8.205714286,-20.67,1,
227,362420.6275,10170100.24,1.538585741,103.7632625,-131.6943028,-8.205714286,-20.67,1,
228,362430.6275,10170100.24,1.538585794,103.7633524,-131.8380771,-8.205714286,-20.67,1,
229,362440.6275,10170100.24,1.538585846,103.7634423,-132.0334559,-9.006666667,-21.80666667,1,
230,362450.6275,10170100.24,1.538585899,103.7635322,-132.2503936,-9.006666667,-21.80666667,1,
231,362460.6275,10170100.24,1.538585951,103.763622,-132.4788614,-9.006666667,-21.80666667,1,
232,362470.6275,10170100.24,1.538586003,103.7637119,-132.7288535,-9.006666667,-21.80666667,1,
233,362480.6275,10170100.24,1.538586056,103.7638018,-132.9903936,-9.006666667,-21.80666667,1,
234,362490.6275,10170100.24,1.538586108,103.7638917,-133.2735401,-9.506666667,-24.9,1,
235,362500.6275,10170100.24,1.538586161,103.7639816,-133.5583928,-9.506666667,-24.9,1,
236,362510.6275,10170100.24,1.538586213,103.7640714,-133.8850978,-9.506666667,-24.9,1,
237,362520.6275,10170100.24,1.538586265,103.7641613,-134.2438529,-10.455,-25.435,1,
238,362530.6275,10170100.24,1.538586318,103.7642512,-134.6249123,-10.455,-25.435,1,
239,362540.6275,10170100.24,1.53858637,103.7643411,-135.0485907,,,,
240,362550.6275,10170100.24,1.538586423,103.764431,-135.4852675,,,,
241,362560.6275,10170100.24,1.538586475,103.7645208,-135.9553892,,,,
242,362570.6275,10170100.24,1.538586527,103.7646107,-136.8494728,,,,
243,362580.6275,10170100.24,1.53858658,103.7647006,-137.3581076,,,,
244,362590.6275,10170100.24,1.538586632,103.7647905,-137.8919567,,,,
245,362600.6275,10170100.24,1.538586684,103.7648804,-138.4417584,,,,
246,362610.6275,10170100.24,1.538586737,103.7649702,-139.0083269,,,,
247,362620.6275,10170100.24,1.538586789,103.7650601,-139.592552,,,,
248,362230.6275,10170090.24,1.538494293,103.7615549,-139.2326244,,,,
249,362240.6275,10170090.24,1.538494346,103.7616448,-138.4715226,,,,
250,362250.6275,10170090.24,1.538494398,103.7617347,-137.3218004,,,,
251,362260.6275,10170090.24,1.538494451,103.7618245,-136.683521,,,,
252,362270.6275,10170090.24,1.538494503,103.7619144,-135.716769,,,,
253,362280.6275,10170090.24,1.538494556,103.7620043,-135.1816429,,,,
